Country,Job Title,Gender,Quantity,Percentage %
Belgium,database software technician,Female,1,0.017537706068046298
Belgium,database tester,Female,1,0.017537706068046298
Belgium,database tester,Male,1,0.017537706068046298
Belgium,director of data operations,Female,1,0.017537706068046298
Belgium,director of data operations,Male,2,0.035075412136092596
Belgium,electronic data processing auditor edp auditor,Male,1,0.017537706068046298
Belgium,field artillery automated tactical data system specialist,Male,1,0.017537706068046298
Belgium,flight data technician,Female,1,0.017537706068046298
Belgium,geographic information systems data manager gis data manager,Female,1,0.017537706068046298
Belgium,geographic information systems data manager gis data manager,Male,2,0.035075412136092596
Belgium,geographic information systems data specialist gis data specialist,Male,2,0.035075412136092596
Belgium,head of information systems and data processing,Male,1,0.017537706068046298
Belgium,health data analyst,Male,3,0.0526131182041389
Belgium,log data technician,Male,1,0.017537706068046298
Belgium,marketing database analyst,Male,1,0.017537706068046298
Belgium,medical data analyst,Male,1,0.017537706068046298
Belgium,oracle database administrator oracle dba,Female,1,0.017537706068046298
Belgium,reference data expert,Male,1,0.017537706068046298
Belgium,sql database administrator,Male,1,0.017537706068046298
Bulgaria,automatic data processing planner,Female,1,0.017537706068046298
Bulgaria,automatic data processing planner adp planner,Male,1,0.017537706068046298
Bulgaria,business database analyst,Male,1,0.017537706068046298
Bulgaria,clinical data management associate director,Male,1,0.017537706068046298
Bulgaria,clinical data manager,Male,1,0.017537706068046298
Bulgaria,computer or data processing systems consultant,Male,1,0.017537706068046298
Bulgaria,data abstractor,Female,1,0.017537706068046298
Bulgaria,data administrator,Female,1,0.017537706068046298
Bulgaria,data administrator,Male,1,0.017537706068046298
Bulgaria,data architect,Female,2,0.035075412136092596
Bulgaria,data base design analyst,Male,1,0.017537706068046298
Bulgaria,data center manager,Male,1,0.017537706068046298
Bulgaria,data center operator,Male,1,0.017537706068046298
Bulgaria,data communications analyst,Female,1,0.017537706068046298
Bulgaria,data compiler,Female,1,0.017537706068046298
Bulgaria,data control assistant,Male,1,0.017537706068046298
Bulgaria,data coordinator,Female,1,0.017537706068046298
Bulgaria,data management associate,Male,1,0.017537706068046298
Bulgaria,data management information technology specialist,Male,1,0.017537706068046298
Bulgaria,data miner,Female,2,0.035075412136092596
Bulgaria,data modeling specialist,Female,1,0.017537706068046298
Bulgaria,data officer,Female,1,0.017537706068046298
Bulgaria,data operations director,Female,1,0.017537706068046298
Bulgaria,data processing auditor,Female,1,0.017537706068046298
Bulgaria,data processing auditor,Male,1,0.017537706068046298
Bulgaria,data processing manager,Female,1,0.017537706068046298
Bulgaria,data processing manager,Male,2,0.035075412136092596
Bulgaria,data processing systems analyst,Female,1,0.017537706068046298
Bulgaria,data processing systems analyst,Male,1,0.017537706068046298
Bulgaria,data recovery planner,Female,1,0.017537706068046298
Bulgaria,data reduction technician,Male,1,0.017537706068046298
Bulgaria,data security administrator,Female,1,0.017537706068046298
Bulgaria,data security analyst,Female,1,0.017537706068046298
Bulgaria,data storage specialist,Female,1,0.017537706068046298
Bulgaria,data systems manager,Female,1,0.017537706068046298
Bulgaria,data warehouse architect,Female,1,0.017537706068046298
Bulgaria,data warehouse architect,Male,2,0.035075412136092596
Bulgaria,data warehouse developer,Female,1,0.017537706068046298
Bulgaria,data warehouse developer,Male,1,0.017537706068046298
Bulgaria,data warehouse specialist,Male,5,0.0876885303402315
Bulgaria,data warehousing engineer,Female,1,0.017537706068046298
Bulgaria,data warehousing specialist,Female,1,0.017537706068046298
Bulgaria,data warehousing specialist,Male,1,0.017537706068046298
Bulgaria,database administration associate,Female,1,0.017537706068046298
Bulgaria,database administration associate,Male,1,0.017537706068046298
Bulgaria,database administration manager,Female,1,0.017537706068046298
Bulgaria,database analyst,Female,1,0.017537706068046298
Bulgaria,database architect,Male,1,0.017537706068046298
Bulgaria,database consultant,Female,1,0.017537706068046298
Bulgaria,database coordinator,Male,1,0.017537706068046298
Bulgaria,database design analyst,Male,1,0.017537706068046298
Bulgaria,database designer,Female,2,0.035075412136092596
Bulgaria,database development project manager,Female,1,0.017537706068046298
Bulgaria,database modeler,Male,2,0.035075412136092596
Bulgaria,database security administrator,Male,1,0.017537706068046298
Bulgaria,database security expert,Male,1,0.017537706068046298
Bulgaria,database software technician,Female,1,0.017537706068046298
Bulgaria,database software technician,Male,1,0.017537706068046298
Bulgaria,database tester,Female,2,0.035075412136092596
Bulgaria,director of data operations,Male,1,0.017537706068046298
Bulgaria,electronic data processing auditor edp auditor,Male,1,0.017537706068046298
Bulgaria,engineer system electronic data processing engineer system edp,Female,3,0.0526131182041389
Bulgaria,geographic information systems data administrator gis data administrator,Male,1,0.017537706068046298
Bulgaria,geographic information systems data manager gis data manager,Male,1,0.017537706068046298
Bulgaria,geographic information systems data specialist gis data specialist,Female,3,0.0526131182041389
Bulgaria,geographic information systems data specialist gis data specialist,Male,1,0.017537706068046298
Bulgaria,geographic information systems database administrator gis database administrator,Female,1,0.017537706068046298
Bulgaria,geographic information systems database administrator gis database administrator,Male,1,0.017537706068046298
Bulgaria,head of information systems and data processing,Female,1,0.017537706068046298
Bulgaria,head of information systems and data processing,Male,2,0.035075412136092596
Bulgaria,internet database specialist,Male,4,0.07015082427218519
Bulgaria,naval tactical data systemcombat information center watch officer carrier controlled approach controller,Female,1,0.017537706068046298
Bulgaria,naval tactical data systemcombat information center watch officer carrier controlled approach controller,Male,1,0.017537706068046298
Bulgaria,scada technician supervisory control and data acquisition technician,Male,1,0.017537706068046298
Bulgaria,sql database administrator,Male,2,0.035075412136092596
Bulgaria,survey data technician,Male,1,0.017537706068046298
Croatia,automatic data processing customer liaison adp customer liaison,Male,1,0.017537706068046298
Croatia,clinical data abstractor,Male,1,0.017537706068046298
Croatia,clinical data management associate director,Male,1,0.017537706068046298
Croatia,computer or data processing systems consultant,Female,1,0.017537706068046298
Croatia,computer or data processing systems consultant,Male,1,0.017537706068046298
Croatia,data administrator,Male,1,0.017537706068046298
Croatia,data analysis assistant,Male,1,0.017537706068046298
Croatia,data coordinator,Male,1,0.017537706068046298
Croatia,data entry associate,Female,1,0.017537706068046298
Croatia,data management associate,Male,1,0.017537706068046298
Croatia,data management information technology specialist,Male,1,0.017537706068046298
Croatia,data modeling specialist,Male,1,0.017537706068046298
Croatia,data officer,Female,1,0.017537706068046298
Croatia,data operations director,Male,1,0.017537706068046298
Croatia,data processing manager,Female,1,0.017537706068046298
Croatia,data processing systems project planner,Male,1,0.017537706068046298
Croatia,data security administrator,Male,2,0.035075412136092596
Croatia,data storage specialist,Female,1,0.017537706068046298
Croatia,data storage specialist,Male,1,0.017537706068046298
Croatia,data systems manager,Female,1,0.017537706068046298
Croatia,data systems manager,Male,1,0.017537706068046298
Croatia,data warehouse developer,Male,1,0.017537706068046298
Croatia,data warehouse specialist,Female,1,0.017537706068046298
Croatia,database coordinator,Female,1,0.017537706068046298
Croatia,database design analyst,Female,1,0.017537706068046298
Croatia,database design analyst,Male,1,0.017537706068046298
Croatia,database designer,Male,1,0.017537706068046298
Croatia,database engineer,Male,1,0.017537706068046298
Croatia,database modeler,Female,1,0.017537706068046298
Croatia,database modeler,Male,1,0.017537706068046298
Croatia,database security administrator,Female,1,0.017537706068046298
Croatia,database security administrator,Male,2,0.035075412136092596
Croatia,database security expert,Male,1,0.017537706068046298
Croatia,database specialist,Male,1,0.017537706068046298
Croatia,database tester,Male,1,0.017537706068046298
Croatia,electronic data interchange system developer edi system developer,Male,1,0.017537706068046298
Croatia,engineer system electronic data processing engineer system edp,Male,1,0.017537706068046298
Croatia,geographic information systems data administrator gis data administrator,Male,1,0.017537706068046298
Croatia,geographic information systems data manager gis data manager,Male,2,0.035075412136092596
Croatia,geographic information systems data specialist gis data specialist,Female,1,0.017537706068046298
Croatia,geographic information systems data specialist gis data specialist,Male,1,0.017537706068046298
Croatia,geographic information systems database administrator gis database administrator,Female,1,0.017537706068046298
Croatia,head of information systems and data processing,Male,1,0.017537706068046298
Croatia,internet database specialist,Female,2,0.035075412136092596
Croatia,operations officer afloat naval tactical data systems,Female,1,0.017537706068046298
Cyprus,clinical trials data coordinator,Female,1,0.017537706068046298
Cyprus,data communications analyst,Female,1,0.017537706068046298
Cyprus,data management associate,Male,1,0.017537706068046298
Cyprus,data modeling specialist,Male,1,0.017537706068046298
Cyprus,data systems manager,Male,1,0.017537706068046298
Cyprus,data warehousing specialist,Male,1,0.017537706068046298
Cyprus,database administrator dba,Male,1,0.017537706068046298
Cyprus,head of information systems and data processing,Male,1,0.017537706068046298
Czechia,automatic data processing customer liaison adp customer liaison,Female,1,0.017537706068046298
Czechia,automatic data processing customer liaison adp customer liaison,Male,1,0.017537706068046298
Czechia,automatic data processing planner,Male,2,0.035075412136092596
Czechia,automatic data processing planner adp planner,Female,1,0.017537706068046298
Czechia,automatic data processing systems security specialist adp systems security,Female,1,0.017537706068046298
Czechia,automatic data processing systems security specialist adp systems security,Male,2,0.035075412136092596
Czechia,clinical data coordinator,Male,1,0.017537706068046298
Czechia,computer or data processing systems consultant,Female,1,0.017537706068046298
Czechia,computer or data processing systems consultant,Male,2,0.035075412136092596
Czechia,data acquisition technician,Male,1,0.017537706068046298
Czechia,data administrator,Female,2,0.035075412136092596
Czechia,data architect,Female,1,0.017537706068046298
Czechia,data architect,Male,1,0.017537706068046298
Czechia,data center operator,Male,1,0.017537706068046298
Czechia,data collection technician,Female,1,0.017537706068046298
Czechia,data communications analyst,Male,1,0.017537706068046298
Czechia,data communications software consultant,Female,1,0.017537706068046298
Czechia,data control assistant,Female,1,0.017537706068046298
Czechia,data coordinator,Male,1,0.017537706068046298
Czechia,data entry machine operator,Female,1,0.017537706068046298
Czechia,data entry specialist,Female,1,0.017537706068046298
Czechia,data keyer,Female,1,0.017537706068046298
Czechia,data management associate,Female,1,0.017537706068046298
Czechia,data management information technology specialist,Male,1,0.017537706068046298
Czechia,data manager,Female,1,0.017537706068046298
Czechia,data miner,Female,1,0.017537706068046298
Czechia,data modeling specialist,Female,1,0.017537706068046298
Czechia,data modeling specialist,Male,1,0.017537706068046298
Czechia,data officer,Female,2,0.035075412136092596
Czechia,data officer,Male,2,0.035075412136092596
Czechia,data operations director,Female,2,0.035075412136092596
Czechia,data operations director,Male,1,0.017537706068046298
Czechia,data processing auditor,Male,1,0.017537706068046298
Czechia,data processing auxiliary equipment operator,Female,1,0.017537706068046298
Czechia,data processing equipment repairer,Male,1,0.017537706068046298
Czechia,data processing manager,Male,1,0.017537706068046298
Czechia,data processing mechanic,Female,1,0.017537706068046298
Czechia,data processing services sales representative,Female,1,0.017537706068046298
Czechia,data processing systems analyst,Male,3,0.0526131182041389
Czechia,data processing systems project planner,Female,1,0.017537706068046298
Czechia,data processing systems project planner,Male,1,0.017537706068046298
Czechia,data sciences director,Male,1,0.017537706068046298
Czechia,data scientist,Male,1,0.017537706068046298
Czechia,data security analyst,Female,1,0.017537706068046298
Czechia,data security analyst,Male,1,0.017537706068046298
Czechia,data storage specialist,Female,1,0.017537706068046298
Czechia,data storage specialist,Male,2,0.035075412136092596
Czechia,data systems manager,Male,1,0.017537706068046298
Czechia,data technician,Male,1,0.017537706068046298
Czechia,data warehouse analyst,Female,1,0.017537706068046298
Czechia,data warehouse analyst,Male,1,0.017537706068046298
Czechia,data warehouse architect,Female,1,0.017537706068046298
Czechia,data warehouse architect,Male,1,0.017537706068046298
Czechia,data warehouse developer,Male,1,0.017537706068046298
Czechia,data warehousing engineer,Male,1,0.017537706068046298
Czechia,data warehousing manager,Female,1,0.017537706068046298
Czechia,data warehousing manager,Male,1,0.017537706068046298
Czechia,data warehousing specialist,Female,1,0.017537706068046298
Czechia,database administration associate,Male,1,0.017537706068046298
Czechia,database administrator dba,Female,1,0.017537706068046298
Czechia,database architect,Male,2,0.035075412136092596
Czechia,database consultant,Female,1,0.017537706068046298
Czechia,database consultant,Male,2,0.035075412136092596
Czechia,database coordinator,Female,1,0.017537706068046298
Czechia,database coordinator,Male,1,0.017537706068046298
Czechia,database designer,Female,1,0.017537706068046298
Czechia,database development and administration project manager,Female,1,0.017537706068046298
Czechia,database development project manager,Male,1,0.017537706068046298
Czechia,database engineer,Male,3,0.0526131182041389
Czechia,database management system specialist dbms specialist,Female,1,0.017537706068046298
Czechia,database marketing analyst,Female,1,0.017537706068046298
Czechia,database security administrator,Female,3,0.0526131182041389
Czechia,database security expert,Female,1,0.017537706068046298
Czechia,database security expert,Male,1,0.017537706068046298
Czechia,database software technician,Female,2,0.035075412136092596
Czechia,database software technician,Male,1,0.017537706068046298
Czechia,database specialist,Female,1,0.017537706068046298
Czechia,database tester,Male,2,0.035075412136092596
Czechia,databases computer consultant,Female,1,0.017537706068046298
Czechia,databases computer consultant,Male,1,0.017537706068046298
Czechia,databases software consultant,Male,1,0.017537706068046298
